model-1591707724,1591707732.274,0.33,0.1828,0.64,0.0627,0
model-1591707724,1591707737.517,0.64,0.0627,0.65,0.0559,0
model-1591707724,1591707742.386,0.65,0.0562,0.66,0.0534,0
model-1591707724,1591707747.74,0.65,0.0566,0.66,0.0527,0
model-1591707724,1591707753.734,0.66,0.0537,0.67,0.0512,0
model-1591707724,1591707760.002,0.66,0.0543,0.67,0.0506,0
model-1591707724,1591707766.85,0.66,0.0525,0.67,0.0504,0
model-1591707724,1591707773.617,0.66,0.0511,0.68,0.0492,0
model-1591707724,1591707780.301,0.68,0.0496,0.68,0.0489,0
model-1591707724,1591707785.92,0.68,0.05,0.68,0.0478,0
model-1591707724,1591707791.824,0.68,0.0482,0.68,0.0475,0
model-1591707724,1591707797.931,0.68,0.0477,0.67,0.0474,0
model-1591707724,1591707803.455,0.67,0.048,0.69,0.0461,0
model-1591707724,1591707808.976,0.69,0.046,0.7,0.0457,0
model-1591707724,1591707814.792,0.69,0.0474,0.7,0.0443,0
model-1591707724,1591707821.26,0.69,0.045,0.69,0.0438,0
model-1591707724,1591707825.116,0.69,0.0466,0.69,0.0437,0
model-1591707724,1591707834.128,0.7,0.0434,0.69,0.0432,1
model-1591707724,1591707839.809,0.69,0.0428,0.7,0.0421,1
model-1591707724,1591707846.419,0.7,0.0424,0.7,0.042,1
model-1591707724,1591707851.825,0.69,0.0455,0.71,0.0415,1
model-1591707724,1591707857.894,0.71,0.0425,0.71,0.0407,1
model-1591707724,1591707863.393,0.7,0.0442,0.71,0.0407,1
model-1591707724,1591707868.799,0.71,0.0419,0.71,0.0404,1
model-1591707724,1591707874.336,0.7,0.041,0.71,0.0397,1
model-1591707724,1591707880.118,0.71,0.04,0.71,0.0392,1
model-1591707724,1591707885.979,0.71,0.0398,0.72,0.0389,1
model-1591707724,1591707892.218,0.72,0.039,0.72,0.0383,1
model-1591707724,1591707897.306,0.72,0.0378,0.72,0.0378,1
model-1591707724,1591707902.374,0.72,0.0384,0.72,0.0374,1
model-1591707724,1591707907.57,0.72,0.0379,0.72,0.0371,1
model-1591707724,1591707912.965,0.72,0.0381,0.72,0.0368,1
model-1591707724,1591707919.666,0.72,0.0377,0.73,0.0365,1
model-1591707724,1591707921.653,0.72,0.0395,0.74,0.0363,1
model-1591707724,1591707927.375,0.74,0.0362,0.74,0.0359,2
model-1591707724,1591707932.799,0.74,0.0355,0.73,0.0355,2
model-1591707724,1591707938.914,0.73,0.0353,0.73,0.0357,2
model-1591707724,1591707944.586,0.72,0.0387,0.73,0.0351,2
model-1591707724,1591707950.147,0.73,0.0361,0.73,0.0347,2
model-1591707724,1591707955.422,0.72,0.0386,0.74,0.0346,2
model-1591707724,1591707961.041,0.73,0.0359,0.74,0.0339,2
model-1591707724,1591707966.136,0.73,0.0346,0.73,0.0342,2
model-1591707724,1591707971.461,0.74,0.0343,0.74,0.0336,2
model-1591707724,1591707976.934,0.74,0.0343,0.74,0.0331,2
model-1591707724,1591707982.266,0.75,0.0333,0.74,0.033,2
model-1591707724,1591707987.417,0.74,0.0326,0.75,0.0326,2
model-1591707724,1591707992.926,0.75,0.0332,0.75,0.0327,2
model-1591707724,1591707998.367,0.75,0.0336,0.75,0.0321,2
model-1591707724,1591708004.607,0.75,0.0332,0.75,0.032,2
model-1591707724,1591708009.932,0.75,0.0326,0.75,0.0317,2
model-1591707724,1591708011.722,0.74,0.0344,0.75,0.0316,2
model-1591707724,1591708017.015,0.75,0.0313,0.75,0.0314,3
model-1591707724,1591708022.252,0.75,0.0313,0.76,0.0312,3
model-1591707724,1591708027.469,0.76,0.0308,0.76,0.0309,3
model-1591707724,1591708032.555,0.75,0.0342,0.75,0.031,3
model-1591707724,1591708037.679,0.75,0.0323,0.75,0.0305,3
model-1591707724,1591708042.747,0.74,0.0345,0.76,0.0303,3
model-1591707724,1591708047.879,0.76,0.0314,0.75,0.0303,3
model-1591707724,1591708053.555,0.75,0.0309,0.75,0.0302,3
model-1591707724,1591708058.594,0.75,0.0299,0.76,0.0298,3
model-1591707724,1591708063.694,0.75,0.0304,0.76,0.0295,3
model-1591707724,1591708069.81,0.76,0.0295,0.76,0.0294,3
model-1591707724,1591708076.424,0.76,0.0287,0.76,0.0292,3
model-1591707724,1591708083.017,0.76,0.0297,0.76,0.029,3
model-1591707724,1591708090.392,0.77,0.0298,0.77,0.0289,3
model-1591707724,1591708095.62,0.76,0.0302,0.77,0.0287,3
model-1591707724,1591708102.274,0.77,0.0292,0.77,0.0286,3
model-1591707724,1591708104.314,0.76,0.0312,0.77,0.029,3
